nzseg_v3,catchment_area,grid_area,grid_coverage
15342245,2945280.0,328616.71199964,0.11157401
15335077,2532800.0,642042.78548754,0.25349131
15303076,1179456.0,1179456.0,1.0
15268732,107648.0,107648.0,1.0
15374374,314112.0,314112.0,1.0
15315550,595456.0,595456.0,1.0
15389438,3893504.0,3893504.0,1.0
15372982,1646400.0,1646400.0,1.0
15288940,2906752.0,1220323.9369996,0.41982389
15275028,2067712.0,1691627.76299963,0.81811575
15338381,2835904.0,26766.04799992,0.00943828
15314765,2192064.0,21695.88648776,0.00989747
15283364,4024896.0,0.0,0.0
15234220,987328.0,0.0,0.0
15315109,2987648.0,0.0,0.0
15308957,1747328.0,0.0,0.0
15336885,3179200.0,0.0,0.0
15320397,1544576.0,0.0,0.0
15335869,87616.0,0.0,0.0
15268789,729088.0,19660.6159998,0.02696604
15369190,4197824.0,4197824.0,1.0
15285774,464768.0,464768.0,1.0
15370830,2652864.0,2588971.92251197,0.97591581
15361542,1659072.0,1659072.0,1.0
15349053,2994112.0,0.0,0.0
15306229,1504512.0,0.0,0.0
15278924,2520000.0,0.0,0.0
15256548,1958272.0,0.0,0.0
15331421,2702016.0,0.0,0.0
15315861,1511552.0,0.0,0.0
15315077,2505792.0,0.0,0.0
15325533,1468032.0,0.0,0.0
15356702,1295936.0,1295936.0,1.0
15326806,1392640.0,1392640.0,1.0
15374110,3158784.0,1117393.3621997,0.35374162
15295038,820032.0,820032.0,1.0
15313989,2176768.0,1103933.87999935,0.50714356
15324381,1800448.0,521882.17148751,0.2898624
15421286,3478528.0,3478528.0,1.0
15305942,371008.0,371008.0,1.0
15331669,2259456.0,0.0,0.0
15311205,1511424.0,6065.65348779,0.0040132
15351445,3163840.0,3163840.0,1.0
15292389,591104.0,591104.0,1.0
15312086,2041152.0,0.0,0.0
15296326,816384.0,0.0,0.0
15270532,2122752.0,0.0,0.0
15222356,969920.0,0.0,0.0
15319789,1402688.0,50888.36768773,0.03627918
15307197,1386240.0,15628.62108777,0.01127411
15291612,2079552.0,2079552.0,1.0
15243756,579648.0,579648.0,1.0
15426086,1890944.0,1890944.0,1.0
15321982,402368.0,402368.0,1.0
15316525,1762880.0,0.0,0.0
15277861,64.0,0.0,0.0
15267188,1664448.0,1664448.0,1.0
15301276,548480.0,548480.0,1.0
15246196,1332544.0,1332544.0,1.0
15252580,734784.0,734784.0,1.0
15286292,1578304.0,1578304.0,1.0
15306084,489792.0,489792.0,1.0
15296877,1245888.0,421902.23499968,0.33863576
15297285,674560.0,262701.13099986,0.38944072
15305021,1274816.0,1274816.0,1.0
15248957,466368.0,466368.0,1.0
15329158,916352.0,916352.0,1.0
15319286,493504.0,493504.0,1.0
15126053,220800.0,0.0,0.0
15249693,192512.0,0.0,0.0
15252981,290176.0,0.0,0.0
15130101,105280.0,0.0,0.0
