basarea,uparea,rchindex,rchid,dsrch_nrch,dsrch_rchid,start_lat,end_lat,start_lon,end_lon,numuprch,uprch_nrch1,uprch_nrch2,uprch_nrch3,uprch_nrch4,uprch_nrch5,uprch_nrch6,uprch_nrch7,uprch_nrch8,uprch_nrch9,uprch_nrch10,uprch_rchid1,uprch_rchid2,uprch_rchid3,uprch_rchid4,uprch_rchid5,uprch_rchid6,uprch_rchid7,uprch_rchid8,uprch_rchid9,uprch_rchid10,rchslope,rchman_n,rchwidth,rchlength,,,
2837376,35562000,69,15383253,66,15383685,-45.954,-45.987,168.137,168.123,2,246,247,-999,-999,-999,-999,-999,-999,-999,-999,15377653,15361341,-999,-999,-999,-999,-999,-999,-999,-999,0.0071,0.024,9.03,4831,,,
2173760,742127000,70,15346805,68,15378493,-45.944,-45.963,168.119,168.113,2,72,73,-999,-999,-999,-999,-999,-999,-999,-999,15234821,15313789,-999,-999,-999,-999,-999,-999,-999,-999,0.0044,0.024,43.56,2511,,,
469952,12807000,71,15367533,68,15378493,-45.95,-45.963,168.109,168.113,2,339,340,-999,-999,-999,-999,-999,-999,-999,-999,15365677,15352013,-999,-999,-999,-999,-999,-999,-999,-999,0.0054,0.024,5.32,1720,,,
273536,737860000,72,15234821,70,15346805,-45.941,-45.944,168.115,168.119,2,74,75,-999,-999,-999,-999,-999,-999,-999,-999,15115133,15375741,-999,-999,-999,-999,-999,-999,-999,-999,0.0127,0.024,43.43,537,,,
352000,2093000,73,15313789,70,15346805,-45.944,-45.944,168.121,168.119,2,524,525,-999,-999,-999,-999,-999,-999,-999,-999,15305021,15248957,-999,-999,-999,-999,-999,-999,-999,-999,0.023,0.024,2.08,165,,,
2275264,714802000,74,15115133,72,15234821,-45.916,-45.941,168.128,168.115,2,76,77,-999,-999,-999,-999,-999,-999,-999,-999,15382469,15374277,-999,-999,-999,-999,-999,-999,-999,-999,0.0071,0.024,42.72,3482,,,
2833472,22784000,75,15375741,72,15234821,-45.904,-45.941,168.111,168.115,2,292,293,-999,-999,-999,-999,-999,-999,-999,-999,15365645,15333733,-999,-999,-999,-999,-999,-999,-999,-999,0.0064,0.024,7.17,4819,,,
1546624,685241000,76,15382469,74,15115133,-45.901,-45.916,168.125,168.128,2,78,79,-999,-999,-999,-999,-999,-999,-999,-999,15384125,15275525,-999,-999,-999,-999,-999,-999,-999,-999,0.0033,0.024,41.79,1920,,,
295936,27286000,77,15374277,74,15115133,-45.911,-45.916,168.136,168.128,2,264,265,-999,-999,-999,-999,-999,-999,-999,-999,15372869,15365549,-999,-999,-999,-999,-999,-999,-999,-999,0.0001,0.024,7.87,897,,,
201984,683018000,78,15384125,76,15382469,-45.897,-45.901,168.124,168.125,2,80,81,-999,-999,-999,-999,-999,-999,-999,-999,15386389,15386373,-999,-999,-999,-999,-999,-999,-999,-999,0.0043,0.024,41.72,475,,,
676736,677000,79,15275525,76,15382469,-45.897,-45.901,168.115,168.125,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0243,0.024,1.16,87,,,
1138048,679893000,80,15386389,78,15384125,-45.884,-45.897,168.127,168.124,4,82,83,84,85,-999,-999,-999,-999,-999,-999,15386965,15330989,15076525,15082837,-999,-999,-999,-999,-999,-999,0.0032,0.024,41.62,1684,,,
2922752,2923000,81,15386373,78,15384125,-45.88,-45.897,168.118,168.124,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0124,0.024,2.47,340,,,
583424,667747000,82,15386965,80,15386389,-45.877,-45.884,168.137,168.127,2,86,87,-999,-999,-999,-999,-999,-999,-999,-999,15387357,15354181,-999,-999,-999,-999,-999,-999,-999,-999,0.0155,0.024,41.24,1159,,,
2726080,9234000,83,15330989,80,15386389,-45.859,-45.884,168.089,168.127,2,431,432,-999,-999,-999,-999,-999,-999,-999,-999,15354117,15274277,-999,-999,-999,-999,-999,-999,-999,-999,0.0164,0.024,4.49,5020,,,
1689856,1690000,84,15076525,80,15386389,-45.86,-45.884,168.114,168.127,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0092,0.024,1.86,2090,,,
83904,84000,85,15082837,80,15386389,-45.885,-45.884,168.128,168.127,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0308,0.024,0.39,142,,,
58688,660683000,86,15387357,82,15386965,-45.873,-45.877,168.135,168.137,3,88,89,90,-999,-999,-999,-999,-999,-999,-999,15387453,15074085,15075205,-999,-999,-999,-999,-999,-999,-999,0.0001,0.024,41.01,531,,,
168576,6480000,87,15354181,82,15386965,-45.875,-45.877,168.139,168.137,2,443,444,-999,-999,-999,-999,-999,-999,-999,-999,15350965,15328893,-999,-999,-999,-999,-999,-999,-999,-999,0.0135,0.024,3.74,327,,,
